"Affiliate","Affiliate"
"Referer","Referer"
"ASC","ASC"
"Clicks","Clicks"
"DESC","DESC"
"Unique Clicks","Unique Clicks"
"Store View","Store View"
"Path","Path"
"Referrer","Referrer"
"Date","Date"
"Products Name","Products Name"
"Total Amount","Total Amount"
"Commission","Commission"
"Status","Status"
"Complete","Complete"
"Pending","Pending"
"Cancel","Cancel"
"All","All"
"Image","Image"
"Flash","Flash"
"Text","Text"
"New Address","New Address"
"Country","Country"
"Affiliate Program","Affiliate Program"
"Account Manager","Account Manager"
"Add Account","Add Account"
"Banner Manager","Banner Manager"
"Add Banner","Add Banner"
"Payment Manager","Payment Manager"
"Transaction Manager","Transaction Manager"
"Save Account","Save Account"
"Delete Account","Delete Account"
"Save And Continue Edit","Save And Continue Edit"
"Add payout","Add payout"
"Payout","Payout"
"ID","ID"
"Name","Name"
"Email","Email"
"Balance","Balance"
"Total Commission","Total Commission"
"Total Paid","Total Paid"
"Store view","Store view"
"Approved","Approved"
"Action","Action"
"Edit","Edit"
"CSV","CSV"
"XML","XML"
"Delete","Delete"
"Change status","Change status"
"Account Information","Account Information"
"Import Customer Info","Import Customer Info"
"General Information","General Information"
"History transaction","History transaction"
"History payment","History payment"
"Group","Group"
"Customer Since","Customer Since"
"Website","Website"
"Paypal Email","Paypal Email"
"Use Default","Use Default"
"STORE VIEW","STORE VIEW"
"Enabled","Enabled"
"Disabled","Disabled"
"Total Clicks","Total Clicks"
"Total Commissions Received","Total Commissions Received"
"Payment Email","Payment Email"
"Account Email","Account Email"
"Amount","Amount"
"Fee","Fee"
"Request Date","Request Date"
"Customer Email","Customer Email"
"Order","Order"
"Product Name","Product Name"
"Discount","Discount"
"Time","Time"
"Save Banner","Save Banner"
"Delete Banner","Delete Banner"
"Title","Title"
"Link","Link"
"Type","Type"
"Banner Information","Banner Information"
"Banner information","Banner information"
"Banner Type","Banner Type"
"Source File","Source File"
"Banner View","Banner View"
"Save Payment","Save Payment"
"Delete Payment","Delete Payment"
"Affiliate Account","Affiliate Account"
"Payment Method","Payment Method"
"Transaction ID","Transaction ID"
"Waiting","Waiting"
"Processing","Processing"
"Completed","Completed"
"Payment Information","Payment Information"
"Payment information","Payment information"
"Affiliate Name","Affiliate Name"
"Including fee","Including fee"
"Not including fee","Not including fee"
"Payment Method Information","Payment Method Information"
"Request Time","Request Time"
"View Affiliate Account Detail","View Affiliate Account Detail"
"View Transaction","View Transaction"
"View","View"
"Transaction Information","Transaction Information"
"View Customer Detail","View Customer Detail"
"View Order Detail","View Order Detail"
"Invalid current password","Invalid current password"
"Affiliate login","Affiliate login"
"Signup Affiliate Account","Signup Affiliate Account"
"Affiliate Home","Affiliate Home"
"Materials","Materials"
"Commissions","Commissions"
"Payments","Payments"
"View Invoice","View Invoice"
"Referrers","Referrers"
"Accounts Manager","Accounts Manager"
"Affiliateplus","Affiliateplus"
"Manage Accounts","Manage Accounts"
"Payment by API Paypal","Payment by API Paypal"
"Paid sucessful","Paid sucessful"
"New Account","New Account"
"Account News","Account News"
"Account does not exist","Account does not exist"
"Account was successfully saved","Account was successfully saved"
"Unable to find account to save","Unable to find account to save"
