"Joined time","Joined time"
"Tier Name","Tier Name"
"Level","Level"
"Status","Status"
"Enabled","Enabled"
"Disabled","Disabled"
"Date","Date"
"Upper tier","Upper tier"
"Products Name","Products Name"
"Total Amount","Total Amount"
"Commission","Commission"
"Complete","Complete"
"Pending","Pending"
"Cancel","Cancel"
"Item Manager","Item Manager"
"Add Item","Add Item"
"Name","Name"
"Email","Email"
"Balance","Balance"
"Total Commission","Total Commission"
"Total Paid","Total Paid"
"Approved","Approved"
"View Account Detail","View Account Detail"
"Tier Commissions","Tier Commissions"
"Tier Affiliates","Tier Affiliates"
"Upper Tier","Upper Tier"
"Change upper tier affiliate","Change upper tier affiliate"
"Add upper tier affiliate","Add upper tier affiliate"
"Tier affiliates","Tier affiliates"
"Standard Commissions","Standard Commissions"
"Magestore Extension","Magestore Extension"
"Affiliate Plus","Affiliate Plus"
"Multi Level Configuration","Multi Level Configuration"
"Active affiliate multi level","Active affiliate multi level"
"Commission percentage for each level ","Commission percentage for each level "
"Send email to tier affiliate account when transaction is created","Send email to tier affiliate account when transaction is created"
"Send email to tier affiliate account when transaction is updated (cancel or completed)","Send email to tier affiliate account when transaction is updated (cancel or completed)"
"Email template sent to tier affiliate account when transaction is created","Email template sent to tier affiliate account when transaction is created"
"Email template sent to tier affiliate account when transaction is updated (cancel or completed)","Email template sent to tier affiliate account when transaction is updated (cancel or completed)"
