"Sales Amount","Sales Amount"
"Transactions","Transactions"
"Commissions","Commissions"
"Traffics","Traffics"
"New Account","New Account"
"Bestseller Product","Bestseller Product"
"Top Affiliates","Top Affiliates"
"Top Referers","Top Referers"
"Lifetime Sales","Lifetime Sales"
"Total Commissions","Total Commissions"
"Total Transactions","Total Transactions"
"Total Affiliate Accounts","Total Affiliate Accounts"
"Total Payout","Total Payout"
"General","General"
"Commission","Commission"
"Unique Clicks","Unique Clicks"
"Total Clicks","Total Clicks"
"Name","Name"
"Email","Email"
"Registered At","Registered At"
"Status","Status"
"Sales","Sales"
"Balance","Balance"
"Type","Type"
"SKU","SKU"
"Price","Price"
"Referer","Referer"
"Completed","Completed"
"Pending","Pending"
"Canceled","Canceled"
"Total Clicks Report","Total Clicks Report"
"Show Report","Show Report"
"Total Sales Report","Total Sales Report"
"Period","Period"
"Total","Total"
"Url Path","Url Path"
"Clicks","Clicks"
"Excel XML","Excel XML"
"Cancel","Cancel"
"Transaction Status","Transaction Status"
"Any","Any"
"Specified","Specified"
"Applies to Any of the Specified Transaction Statuses","Applies to Any of the Specified Transaction Statuses"
"Account Email","Account Email"
"Total Amount","Total Amount"
"Affiliate Plus","Affiliate Plus"
"Statistic","Statistic"
"Affiliateplus","Affiliateplus"
"Report Sales","Report Sales"
"Report Clicks","Report Clicks"
"No Data Found","No Data Found"
"Affiliate Plus Statistic","Affiliate Plus Statistic"
"Traffic Activity","Traffic Activity"
"Transaction Activity","Transaction Activity"
"Enable Charts","Enable Charts"
"Year-To-Date Starts","Year-To-Date Starts"
"Current Month Starts","Current Month Starts"
"Statistics","Statistics
"Chart Statistic","Chart Statistic"
"Report Sales","Report Sales"
"Report Clicks","Report Clicks"
