source;translation;type;module;status;customer
lang_code;bg-BG;M;;T;N
lang_name;Български;M;;T;N
lang_english_name;Bulgarian;M;;T;N
lang_author;www.bgfoto.net;M;;T;N
lang_version;4.5.86.0;M;;T;N
lang_date_format;"dd.MM.yyyy г.";M;;T;N
lang_time_format;HH:mm:ss;M;;T;N
lang_thousands_separator;;M;;T;N
lang_decimal_separator;.;M;;T;N
lang_transaltion_percentage;97;M;;T;N
"Error during copy of sample banner image %s.";"Грешка при копирането на примерното банер изображение %s.";S;;T;N
"License";"Лиценз";S;;T;N
"You have to agree license.";"Трябва да приемете лиценза.";B;;T;N
"Installation Completed";"Инсталацията е завършена...";B;;T;N
"Safe Mode";"Safe Mode";S;;T;N
"Display Errors";"Display Errors";S;;T;N
"File Uploads";"File Uploads";S;;T;N
"Register Globals";"Register Globals";S;;T;N
"Session Auto Start";"Session Auto Start";S;;T;N
"On";"ВКЛ.";B;;T;N
"Off";"ИЗКЛ.";B;;T;N
"Configuration directory is writable";"Конфигурационната директория е с права за запис";S;;T;N
"Configuration directory has to be writable";"Конфигурационната директория трябва да е с права за запис";S;;T;N
"Please make directory %s and all subdirectories writable by webserver.";"Моля, направете директорията %s и всички нейни под директории с права за запис от сървъра...";S;;T;N
"On unix-like systems you can type ""chmod -R 777 %s"".";"На UNIX и подобни системи (unix-like) можете да напишете ""chmod -R 777 %s"".";S;;T;N
"On any system you can set write permissions using your favourite FTP client.";"За всички системи можете да промените правата за запис чрез вашият любим FTP клиент.";S;;T;N
"PHP include path";"Път за включване на PHP файлове (PHP include path)";S;;T;N
"Could not set PHP include path";"Пътят за включване на PHP файлове не може да бъде зададен";S;;T;N
"Please configure your PHP so that script is able to change include_path.";"Моля, конфигурирайте вашата PHP инсталация за да може скриптът да е в състояние да променя пътя за включване  (include_path).";S;;T;N
"Alternatively you can set include_path directly in your php.ini. include_path=%s";"Алтернативно можете да назначите пътя за включване (include_path) директно във вашият php.ini конфигурационен файл: include_path=%s";S;;T;N
"MySQL extension is installed";"MySQL extension е инсталирано";S;;T;N
"MySQL extension is not installed";"MySQL extension не е инсталирано";S;;T;N
"Please enable MySQL extension. More info http://php.net/mysql";"Моля, разрешете MySQL extension. Повече информация на адрес http://php.net/mysql";S;;T;N
"MySQL version is %s or higher";"MySQL версия е %s или по-висока";S;;T;N
"MySQL version is less then %s";"MySQL версия е по-ниска от %s";S;;T;N
"Please install MySQL version %s or higher. Your current version is %s. More info http://myqsl.net/";"Моля, инсталирайте MySQL версия %s или по-висока. Вашата текуща версия е %s. Повече информация на адрес http://myqsl.net/";S;;T;N
"Please check system requirements and try again";"Моля, проверете системните изисквания и опитайте отново";S;;T;N
"Welcome";"Добре дошли";S;;T;N
"Error, you cannot deactivate Default campaign";"ГРЕШКА! Кампанията по подразбиране не може да бъде деактивирана";S;merchant;T;N
"You have to specify status of campaign (rstatus field)";"Трябва да укажете статуса на кампанията (полето rstatus)";S;merchant;T;N
"Campaigns";"Кампании";B;;T;N
"Overview";"Общ преглед";B;;T;N
"Campaigns Manager";"Администриране";S;merchant;T;N
"Banners";"Банери";B;merchant;T;N
"Banners Manager";"Администриране на банери";B;merchant;T;N
"Affiliates";"Партньори";B;merchant;T;N
"Affiliates Manager";"Администриране на партньори";S;merchant;T;N
"DirectLinks Urls";"URL на Директни линкове";S;merchant;T;N
"Transactions";"Транзакции";S;merchant;T;N
"Raw clicks list";"Списък с всички кликове";B;merchant;T;N
"Commissions";"Комисионни";B;;T;N
"Reports";"Доклади";B;;T;N
"Trends report";"Доклад за тенденциите";B;;T;N
"Payouts history";"История на плащанията";B;;T;N
"Payouts by affiliate";"Плащания по партньори";B;merchant;T;N
"Payouts";"Плащания";B;merchant;T;N
