source;translation;type;module;status;customer
lang_code;de-DE;M;;T;N
lang_name;Deutsch;M;;T;N
lang_english_name;German;M;;T;N
lang_author;AceBIT;M;;T;N
lang_version;4.5.86.0;M;;T;N
lang_date_format;dd/MM/yyyy;M;;T;N
lang_time_format;HH:mm:ss;M;;T;N
lang_thousands_separator;" ";M;;T;N
lang_decimal_separator;.;M;;T;N
lang_transaltion_percentage;65;M;;T;N
"Error during copy of sample banner image %s.";"Fehler beim Kopieren des Beispiel-Banner-Bildes %s";S;;T;N
"License";"Lizenz";S;;T;N
"You have to agree license.";"Sie müssen den Lizenzbestimmungen zustimmen.";B;;T;N
"Installation Completed";"Installation abgeschlossen";B;;T;N
"Safe Mode";"Abgesicherter Modus";S;;T;N
"Display Errors";"Fehler anzeigen";S;;T;N
"File Uploads";"Hochgeladene Dateien";S;;T;N
"Register Globals";"Register Globals";S;;T;N
"Session Auto Start";"Session Auto Start";S;;T;N
"On";"An";B;;T;N
"Off";"Aus";B;;T;N
"Configuration directory is writable";"Konfigurationsverzeichnis ist beschreibbar";S;;T;N
"Configuration directory has to be writable";"Konfigurationsverzeichnis muss beschreibbar sein";S;;T;N
"Please make directory %s and all subdirectories writable by webserver.";"Bitte machen Sie das Dateiverzeichnis %s und alle Dateiunterverzeichnisse durch den Webserver beschreibbar.";S;;T;N
"On unix-like systems you can type ""chmod -R 777 %s"".";"In Unix-ähnlichen Systemen können Sie """"chmod -R 777 %s"""" eingeben.";S;;T;N
"On any system you can set write permissions using your favourite FTP client.";"In jedem System können Sie Schreibrechte mit Ihrem bevorzugten FTP-Client vergeben.";S;;T;N
"PHP include path";"PHP include path";S;;T;N
"Could not set PHP include path";"PHP include path konnte nicht gesetzt werden";S;;T;N
"Please configure your PHP so that script is able to change include_path.";"Bitte konfigurieren Sie Ihr PHP so, dass das Script include_path ändern kann.";S;;T;N
"Alternatively you can set include_path directly in your php.ini. include_path=%s";"Alternativ können sie include_path auch direkt in Ihrer php.ini festlegen. include_path =%s";S;;T;N
"MySQL extension is installed";"MySQL-Erweiterung  ist installiert";S;;T;N
"MySQL extension is not installed";"MySQL- Erweiterung ist nicht installiert";S;;T;N
"Please enable MySQL extension. More info http://php.net/mysql";"Bitte aktivieren Sie die MySQL-Erweiterung. Mehr Informationen dazu finden Sie unter http://php.net/mysql";S;;T;N
"MySQL version is %s or higher";"MySQL-Version ist %s oder höher";S;;T;N
"MySQL version is less then %s";"MySQL-Version ist kleiner als %s";S;;T;N
"Please install MySQL version %s or higher. Your current version is %s. More info http://myqsl.net/";"Bitte installieren Sie die MySQL-Version %s oder höher. Ihre aktuelle Version ist %s. Mehr Informationen finden Sie unter  http://myqsl.net/";S;;T;N
"Please check system requirements and try again";"Bitte überprüfen Sie die Systemvoraussetzungen und versuchen Sie es erneut.";S;;T;N
"Welcome";"Herzlich Willkommen";S;;T;N
"Error, you cannot deactivate Default campaign";"Fehler, Sie können die Standard-Kampagne nicht deaktivieren";S;merchant;T;N
"You have to specify status of campaign (rstatus field)";"Sie müssen den Status der Kampagne spezifizieren (rstatus field )";S;merchant;T;N
"Campaigns";"Kampagnen";B;;T;N
"Overview";"Überblick";B;;T;N
"Campaigns Manager";"Kampagnen-Manager";S;merchant;T;N
"Banners";"Banner";B;merchant;T;N
"Banners Manager";"Banner-Manager";B;merchant;T;N
"Affiliates";"Partner";B;merchant;T;N
"Affiliates Manager";"Partner-Manager";S;merchant;T;N
"DirectLinks Urls";"DirectLink-URLs";S;merchant;T;N
"Transactions";"Transaktionen";S;merchant;T;N
"Raw clicks list";"Bericht über alle Klicks";B;merchant;T;N
"Commissions";"Provisionen";B;;T;N
"Reports";"Berichte";B;;T;N
"Trends report";"Trendbericht";B;;T;N
"Payouts history";"Auszahlungsverlauf";B;;T;N
"Payouts by affiliate";"Auszahlungen sortiert nach Partner";B;merchant;T;N
"Payouts";"Auszahlungen";B;merchant;T;N
"Pay affiliates";"Partner bezahlen";B;merchant;T;N
