source;translation;type;module;status;customer
lang_code;es;M;;T;N
lang_name;Español;M;;T;N
lang_english_name;Spanish;M;;T;N
lang_author;"Jorge Perez";M;;T;N
lang_version;4.5.86.0;M;;T;N
lang_date_format;MM/d/yyyy;M;;T;N
lang_time_format;HH:mm:ss;M;;T;N
lang_thousands_separator;" ";M;;T;N
lang_decimal_separator;.;M;;T;N
lang_transaltion_percentage;78;M;;T;N
"Error during copy of sample banner image %s.";"Error durante la copia de la imagen de muestra del banner %s.";S;;T;N
"License";"Licencia";S;;T;N
"You have to agree license.";"Debe aceptar la licencia";B;;T;N
"Installation Completed";"Instalación completa";B;;T;N
"Safe Mode";"Modo seguro";S;;T;N
"Display Errors";"Mostrar errores";S;;T;N
"File Uploads";"Archivos subidos";S;;T;N
"Register Globals";"Registro Global";S;;T;N
"Session Auto Start";"Inicio automático de sesión";S;;T;N
"On";"Encendido";B;;T;N
"Off";"Apagado";B;;T;N
"Configuration directory is writable";"El directorio de configuración se puede sobrescribir";S;;T;N
"Configuration directory has to be writable";"El directorio de configuración se debe poder sobrescribir";S;;T;N
"Please make directory %s and all subdirectories writable by webserver.";"Por favor habilite el directorio %s y los subdirectorios para que webserver pueda sobrescribir";S;;T;N
"On unix-like systems you can type ""chmod -R 777 %s"".";"En sistemas Unix puede escribir ""chmod -R 777 %s"".";S;;T;N
"On any system you can set write permissions using your favourite FTP client.";"En cualquier sistema se pueden cambiar los permisos usando un cliente FTP.";S;;T;N
"PHP include path";"Incluir ruta PHP include (include_path)";S;;T;N
"Could not set PHP include path";"No se puede configurar PHP";S;;T;N
"Please configure your PHP so that script is able to change include_path.";"Configure PHP para permitir cambios en include_path.";S;;T;N
"Alternatively you can set include_path directly in your php.ini. include_path=%s";"Como alternativa puede configurar include_path directamente en su php.ini. include_path=%s";S;;T;N
"MySQL extension is installed";"La extensión MySQL está instalada";S;;T;N
"MySQL extension is not installed";"La extensión MySQL no está instalada";S;;T;N
"Please enable MySQL extension. More info http://php.net/mysql";"Por favor habilite las sesiones MySQL. Más información en  http://php.net/mysql";S;;T;N
"MySQL version is %s or higher";"La versión MySQL es %s o superior";S;;T;N
"MySQL version is less then %s";"La versión MySQL versión es anterior a %s";S;;T;N
"Please install MySQL version %s or higher. Your current version is %s. More info http://myqsl.net/";"Por favor instale una versión de MySQL %s o superior. La versión instalada es %s. Más información en  http://myqsl.net/";S;;T;N
"Please check system requirements and try again";"Por favor verifique los requerimientos del sistema e intente de nuevo";S;;T;N
"Welcome";"Bienvenido";S;;T;N
"Error, you cannot deactivate Default campaign";"Error, no puede desactivar la campaña predeterminada";S;merchant;T;N
