source;translation;type;module;status;customer
lang_code;it-IT;M;;T;N
lang_name;Italiano;M;;T;N
lang_english_name;Italian;M;;T;N
lang_author;"Luca Lo Bascio";M;;T;N
lang_version;4.5.86.0;M;;T;N
lang_date_format;d/MM/yyyy;M;;T;N
lang_time_format;HH:mm:ss;M;;T;N
lang_thousands_separator;" ";M;;T;N
lang_decimal_separator;.;M;;T;N
lang_transaltion_percentage;30;M;;T;N
"Error during copy of sample banner image %s.";"Errore durante la copia di immagini banner esempio %s.";S;;T;N
"License";"Licensa";S;;T;N
"You have to agree license.";"Devi accettare la licenza.";B;;T;N
"Installation Completed";"Installazione completa";B;;T;N
"Safe Mode";"Safe Mode";S;;N;N
"Display Errors";"Mostra errori";S;;T;N
"File Uploads";"File Uploads";S;;N;N
"Register Globals";"Register Globals";S;;N;N
"Session Auto Start";"Session Auto Start";S;;N;N
"On";"On";B;;N;N
"Off";"Off";B;;N;N
"Configuration directory is writable";"La cartella Configuration è scrivibile";S;;T;N
"Configuration directory has to be writable";"Cartella Configuration deve essere scrivibile";S;;T;N
"Please make directory %s and all subdirectories writable by webserver.";"Rendi la cartella %s e tutte le sue sottocartelle scrivibili tramite web server";S;;T;N
"On unix-like systems you can type ""chmod -R 777 %s"".";"Nei sistemi unix-like puoi scrivere ""chmod -R 777 %s"".";S;;T;N
"On any system you can set write permissions using your favourite FTP client.";"In ogni sistema si posson impostare i permessi di scrittura utilizzando il tuo client FTP";S;;T;N
"PHP include path";"PHP include path";S;;N;N
"Could not set PHP include path";"Impossibile impostare PHP include path";S;;T;N
"Please configure your PHP so that script is able to change include_path.";"Configura PHP cosi che lo script è abilitato a cambiare include_path.";S;;T;N
"Alternatively you can set include_path directly in your php.ini. include_path=%s";"In alternativa puoi impostare include_path direttamente nel tuo php.ini. include_path=%s";S;;T;N
"MySQL extension is installed";"estensione MySQL installata";S;;T;N
"MySQL extension is not installed";"estensione MySQL non installata";S;;T;N
"Please enable MySQL extension. More info http://php.net/mysql";"Abilita estensione MySQL. Altre informazioni http://php.net/mysql";S;;T;N
"MySQL version is %s or higher";"Versione MySQL è %s o superiore";S;;T;N
"MySQL version is less then %s";"Versione MySQL è minore di %s";S;;T;N
"Please install MySQL version %s or higher. Your current version is %s. More info http://myqsl.net/";"Installa una versione di MySQL %s o maggiore. La attuale versione è %s. Altre info: http://myqsl.net/";S;;T;N
"Select Language";"Seleziona lingua";B;;T;N
"Please check system requirements and try again";"Controlla requisiti di sistema e prova ancora";S;;T;N
"Welcome";"Benvenuto";S;;T;N
"Error, you cannot deactivate Default campaign";"Errore, non puoi disattivare la campagna predefinita";S;merchant;T;N
"You have to specify status of campaign (rstatus field)";"Devi specificare lo stato della campagna (campo rstatus)";S;merchant;T;N
"Campaigns";"Campagne pubblicitarie";B;;T;N
"Overview";"Resoconto";B;;T;N
"Campaigns Manager";"Gestione Campagne";S;merchant;T;N
"Banners";"Banners";B;merchant;N;N
"Banners Manager";"Banners manager";B;merchant;N;N
"Affiliates";"Affiliati";B;merchant;T;N
"Affiliates Manager";"Gestione Affiliati";S;merchant;T;N
"DirectLinks Urls";"DirectLinks Urls";S;merchant;N;N
"Transactions";"Transazioni";S;merchant;T;N
"Raw clicks list";"Elenco Click";B;merchant;T;N
"Commissions";"Commissioni";B;;T;N
"Reports";"Rapporti";B;;T;N
"Quick report";"Rapporto rapido";B;merchant;T;N
"Trends report";"Rapporto andamento";B;;T;N
"Payouts history";"Storico pagamenti";B;;T;N
"Payouts by affiliate";"Pagamenti per affiliato";B;merchant;T;N
"Payouts";"Pagamenti";B;merchant;T;N
"Pay affiliates";"Paga Affiliati";B;merchant;T;N
"Communication";"Comunicazioni";B;;T;N
"Send message";"Invio messaggio";S;merchant;T;N
"Configuration";"Configurazione";B;merchant;T;N
"Tracking settings";"Impostazioni Tracking";B;merchant;T;N
"Affiliate panel";"Pannello Affiliato";C;merchant;T;N
"Tools";"Tools";B;;N;N
"Integration";"Integrazione";B;merchant;T;N
"Import / Export";"Importa / esporta";B;merchant;T;N
"Event logs";"Event logs";B;merchant;N;N
"Online users";"Utenti online";B;;T;N
"Database status";"Stato database";B;;T;N
"User cannot be found";"L'utente non puo essere trovato";S;affiliate;T;N
"Email was successfully sent to merchant";"Email inviata corettamente al mercante";S;affiliate;T;N
"Email notifications saved";"Notifiche email salvate";S;;T;N
"Banner";"Banner";B;;N;N
"none active";"Nessuno attivo";S;;T;N
"CPM";"Cpm";B;;T;N
"per click";"per Click";B;;N;N
"per sale";"per Sale";B;;N;N
"ID";"Id";B;;T;N
"Name";"Nome";B;;T;N
"Description";"Descrizione";B;;T;N
"Status";"Stato";B;;T;N
"Date created";"Data creazione";S;;T;N
"Actions";"Azioni";B;;T;N
"Channel";"Canale/Sito";B;;T;N
"Failed to save %s field(s). Data with value '";"Salvataggio campi %s non riuscito. Dati con valore '";S;affiliate;T;N
"Failed to save %s field(s)";"Salvataggio campi %s non riuscito";S;;T;N
"%s field(s) successfully saved";"%s campo(i) correttamente salvati";S;;T;N
"User";"Utente";S;;T;N
"Channel name";"Nome canale/sito";S;affiliate;T;N
"Pattern didn't matched the URL, check your pattern";"Pattern non corrispnde con l'URL, controlla il tuo pattern";S;affiliate;T;N
"Pattern matched the URL";"Pattern corrisponde all'URL";S;affiliate;T;N
"Login";"Login";B;;N;N
"First name";"Nome";B;;T;N
"Last name";"Cognome";B;;T;N
"Referral ID";"Referral ID";B;;N;N
"I agree with terms & conditions";"Accetto i termini e le condizioni del vostro servizio";B;;T;N
"Cannot find invoice";"Impossibile trovare la fattura";S;;T;N
"Affiliate";"Affiliato";B;;T;N
"Date of registration";"Data registrazione";S;affiliate;T;N
"% in total sales";"% nelle vendite totali";S;affiliate;T;N
"% of total sales";"% delle vendite totali";S;affiliate;T;N
"% of total commissions";"% delle commissioni totali";S;affiliate;T;N
"Commission";"Commissione";B;;T;N
"Total cost";"Costo totale";B;;T;N
"Order ID";"Order ID";B;;N;N
"Product ID";"Product ID";B;;N;N
"Created";"Creato";B;;T;N
"Campaign Name";"Nome campagna";B;;T;N
"Type";"Tipo";B;;T;N
"Affiliate username";"Username affiliato";S;;T;N
"Paid";"Pagato";B;;T;N
"Ip";"IP";S;;N;N
"Referer";"Referer";B;;N;N
"Recurring commison id";"Ricorrenza commissione id";S;;T;N
"Payout history id";"Storico pagamento id";S;;T;N
"Click count";"Click count";S;;N;N
"First click time";"Primo click ora";S;;T;N
"First click referer";"Primo click referer";S;;T;N
"First click ip";"Primo click ip";S;;T;N
"First click data 1";"Primo click data 1";S;;T;N
"First click data 2";"Primo click data 2";S;;T;N
"Last click time";"Ultimo click ora";S;;T;N
"Last click referer";"Ultimo click referer";S;;T;N
"Last click ip";"Ultimo click ip";S;;T;N
"Last click data 1";"Ultimo click data 1";S;;T;N
"Last click data 2";"Ultimo click data 2";S;;T;N
"Extra data 1";"Extra data 1";B;;N;N
"Extra data 2";"Extra data 2";B;;N;N
"Extra data 3";"Extra data 3";S;;N;N
"Extra data 4";"Extra data 4";S;;N;N
"Extra data 5";"Extra data 5";S;;N;N
"Merchant note";"Nota mercante";B;;T;N
"Banner name";"Nome Banner";S;merchant;T;N
"Banner preview";"Anteprima Banner";S;merchant;T;N
"Campaign";"Campagna pubblicitaria";B;;T;N
"Target URL";"URL di destinazione";B;;T;N
"Banner type";"Banner tipo";S;;T;N
"Html data is not defined";"Dati html non sono definiti";S;;T;N
"File name is not defined";"Nome file non è defininto";S;;T;N
"unknown";"Sconosciuto";B;;T;N
"approved";"Approvato";B;;T;N
"pending";"in attesa";B;;T;N
"User Id";"Utente ID";S;;T;N
"Payment date";"Data Pagamento";S;;T;N
"Username";"Username";B;;N;N
"Amount";"Importo";B;;T;N
"Note to affiliate";"Nota per affiliato";S;;T;N
"Original currency ID";"valuta originale ID";S;;T;N
"Original currency rate";"tasso valuta originale";S;;T;N
"Original currency value";"valore valuta originale";S;;T;N
"System note";"Note del sistema";B;;T;N
"Country code";"Codice paese";S;;T;N
"Affiliate first name";"Nome dell'affilliato";S;;T;N
"Affiliate last name";"Cognome dell'affiliato";S;;T;N
"3rd party cookie";"3rd party cookie";B;;N;N
"1st party cookie";"1st party cookie";B;;N;N
"Flash cookie";"Flash cookie";B;;N;N
"Forced parameter";"Forza parametro";B;;T;N
"IP address";"Indirizzo IP";B;;T;N
"Default affiliate";"Affiliato predefinito";B;;T;N
"Url";"URL";B;;N;N
"Note";"Nota";B;;T;N
"Status does not have allowed value";"Stato non ha un valore consentito";S;;T;N
"Selected username already exists";"L'username selezionato esiste gia";S;;T;N
"Failed to change status for %s user(s)";"Cambio stato fallito per %s utenti";S;;T;N
"Status successfully changed for %s user(s)";"Stato cambiato correttamente per utenti %s ";S;;T;N
"Password";"Password";B;;N;N
"Title must be unique";"Titolo deve essere unico";S;affiliate;T;N
"Selected parent affiliate does not exist";"Lo sponsor selezionato non esiste";S;;T;N
