source;translation;type;module;status;customer
lang_code;la-LV;M;;T;N
lang_name;"Latviešu valoda";M;;T;N
lang_english_name;Latvian;M;;T;N
lang_author;MLMEX;M;;T;N
lang_version;4.5.86.0;M;;T;N
lang_date_format;dd/MM/yyyy;M;;T;N
lang_time_format;HH:mm:ss;M;;T;N
lang_thousands_separator;;M;;T;N
lang_decimal_separator;.;M;;T;N
lang_transaltion_percentage;81;M;;T;N
"Error during copy of sample banner image %s.";"Kļūda banera attēla kopēšanas procesā %s.";S;;T;Y
"License";"Licence";S;;T;N
"You have to agree license.";"Jums jāpiekrīt licences noteikumiem.";B;;T;Y
"Installation Completed";"Instalācija pabeigta";B;;T;Y
"Safe Mode";"Drošais režīms";S;;T;Y
"Display Errors";"Parādīt kļūdas";S;;T;Y
"File Uploads";"Failu augšupielāde";S;;T;Y
"Register Globals";"Reģistrēt Globālus";S;;T;N
"Session Auto Start";"Automātiska sesijas uzsākšana";S;;T;N
"On";"Ieslēgt";B;;T;Y
"Off";"Izslēgt";B;;T;N
"Configuration directory is writable";"Konfigurāciju direktorijā ieraksti atļauti";S;;T;N
"Configuration directory has to be writable";"Konfigurāciju direktorijai jābūt atļajai veikt ierakstus";S;;T;N
"Please make directory %s and all subdirectories writable by webserver.";"Lūdzu atļaujiet veikt ierakstus no vebservera direktorijām %s un apakšdirektorijām.";S;;T;N
"On unix-like systems you can type ""chmod -R 777 %s"".";"Unix-tipa sistēmās jūs varat ierakstīt ""chmod -R 777 %s"".";S;;T;N
"PHP include path";"PHP ietver ceļu";S;;T;N
"Could not set PHP include path";"Neizdevās uzstādīt PHP ceļu";S;;T;N
"MySQL extension is installed";"MySQL pagarinājums ir uzinstalēts";S;;T;N
"MySQL extension is not installed";"MySQL pagarinājums nav uzinstalēts";S;;T;N
"Please enable MySQL extension. More info http://php.net/mysql";"Lūdzu aktivizēt MySQL pagarinājumus. Vairāk informācijas http://php.net/mysql";S;;T;N
"MySQL version is %s or higher";"MySQL versija ir %s vai jaunāka";S;;T;N
"MySQL version is less then %s";"MySQL versija ir vecāka par %s";S;;T;N
"Please install MySQL version %s or higher. Your current version is %s. More info http://myqsl.net/";"Lūdzu uzinstalējiet jaunāku MySQL versiju %s. Jūsu pašreizējā versija ir %s. Vairāk informācijas http://myqsl.net/";S;;T;N
"Please check system requirements and try again";"Lūdzu pārbaudiet sistēmas prasības un mēģiniet vēlreiz";S;;T;N
"Welcome";"Sveicināts";S;;T;Y
"You have to specify status of campaign (rstatus field)";"Jums jānorāda kampaņas statuss (rstatuss lauciņš)";S;merchant;T;Y
"Campaigns";"Kampaņas";B;;T;Y
"Overview";"Pārskats";B;;T;Y
"Campaigns Manager";"Kampaņu pārvaldnieks";S;merchant;T;Y
"Banners";"Baneri";B;merchant;T;Y
"Banners Manager";"Baneru Pārvaldnieks";B;merchant;T;Y
"Affiliates";"Partneri";B;merchant;T;N
"Affiliates Manager";"Partneru Pārvaldnieks";S;merchant;T;Y
"DirectLinks Urls";"Tiešo Linku Url";S;merchant;T;Y
"Transactions";"Transakcijas";S;merchant;T;N
"Raw clicks list";"Neapstrādāto klikšķu saraksts";B;merchant;T;Y
"Commissions";"Komisijas";B;;T;N
"Reports";"Atskaites";B;;T;N
"Trends report";"Tendenču atskaite";B;;T;N
"Payouts history";"Izmaksu vēsture";B;;T;Y
"Payouts by affiliate";"Izmaksas katram partnerim";B;merchant;T;N
"Payouts";"Izmaksas";B;merchant;T;N
"Pay affiliates";"Izmaksāt partneriem";B;merchant;T;N
"Communication";"Komunikācija";B;;T;Y
"Send message";"Sūtīt ziņu";S;merchant;T;N
"Configuration";"Konfigurācija";B;merchant;T;Y
"Tracking settings";"Izsekošanas iestatījumi";B;merchant;T;Y
"Affiliate panel";"Partneru panelis";C;merchant;T;N
"Tools";"Instrumenti";B;;T;N
"Integration";"Integrācija";B;merchant;T;Y
"Import / Export";"Imports/Eksports";B;merchant;T;N
"Event logs";"Notikumu saraksts";B;merchant;T;Y
"Database status";"Datu bāzes statuss";B;;T;Y
"User cannot be found";"Lietotājs nav atrodams";S;affiliate;T;N
"Email was successfully sent to merchant";"E-pasts veiksmīgi nosūtīts tirgotājam (merchant)";S;affiliate;T;N
"Email notifications saved";"E-pasta paziņojumi saglabāti";S;;T;N
"Banner";"Baneris";B;;T;Y
"none active";"neviens nav aktīvs";S;;T;Y
"per click";"par klikšķi";B;;T;Y
"per sale";"par pārdošanu";B;;T;Y
"ID";"Id ";B;;T;N
"Name";"Vārds";B;;T;Y
"Description";"Apraksts";B;;T;N
"Status";"Statuss";B;;T;N
"Date created";"Izveidošanas datums";S;;T;Y
"Actions";"Aktivitātes";B;;T;Y
"Channel";"Kanāls";B;;T;Y
"Failed to save %s field(s). Data with value '";"Neizdevās saglabāt %s lauku(s). Dati ar vērtību '";S;affiliate;T;N
"Failed to save %s field(s)";"Neizdevās saglabāt %s lauku(s)";S;;T;N
"%s field(s) successfully saved";"%s lauks(i) veiksmīgi saglabāti";S;;T;N
"User";"Lietotājs";S;;T;Y
"Channel name";"Kanāla nosaukums";S;affiliate;T;Y
"Pattern matched the URL";"Struktūra atbilda URL";S;affiliate;T;N
"Login";"Lietotāja vārds";B;;T;Y
"First name";"Vārds";B;;T;Y
"Last name";"Uzvārds";B;;T;Y
"Referral ID";"Referāļa ID";B;;T;Y
"I agree with terms & conditions";"Es piekrītu lietošanas nosacījumiem";B;;T;Y
"Cannot find invoice";"Nevar atrast rēķinu";S;;T;Y
"Affiliate";"Partneris";B;;T;N
"Date of registration";"Reģistrācijas datums";S;affiliate;T;Y
"% in total sales";"% kopējais pārdošanu apjoms";S;affiliate;T;Y
"% of total sales";"% no kopējā pārdošanu apjoma";S;affiliate;T;Y
"% of total commissions";"% no kopējām komisijām";S;affiliate;T;Y
"Commission";"Komisijas";B;;T;N
"Total cost";"Kopējās izmaksas";B;;T;Y
"Order ID";"Pasūtījuma ID";B;;T;Y
"Product ID";"Produkta ID";B;;T;N
"Created";"Izveidots";B;;T;N
"Campaign Name";"Kampaņas nosaukums";B;;T;Y
"Type";"Tips";B;;T;N
"Affiliate username";"Partnera lietotājvārds";S;;T;Y
"Paid";"Apmaksāts";B;;T;Y
"Ip";"IP ";S;;T;N
"Referer";"Referālis";B;;T;Y
"Recurring commison id";"Atkārtoto komisiju id";S;;T;Y
"Payout history id";"Izmaksu vēstures id";S;;T;Y
"Click count";"Klikšķu skaits";S;;T;N
"First click time";"Pirmā klikšķa laiks";S;;T;N
"First click referer";"Pirmā klikšķa referālis";S;;T;N
"First click ip";"Pirmā klikšķa IP";S;;T;N
"First click data 1";"Pirmā klikšķa data 1";S;;T;N
"First click data 2";"Pirmā klikšķa data 2";S;;T;N
"Last click time";"Pēdējā klikšķa laiks";S;;T;N
"Last click referer";"Pēdējā klikšķa referālis";S;;T;N
"Last click ip";"Pēdējā klikšķa IP";S;;T;N
"Last click data 1";"Pēdējā klikšķa data 1";S;;T;N
"Last click data 2";"Pēdējā klikšķa data 2";S;;T;N
"Extra data 1";"Papildus dati 1";B;;T;N
"Extra data 2";"Papildus dati 2";B;;T;N
"Extra data 3";"Papildus dati 3";S;;T;N
"Extra data 4";"Papildus dati 4";S;;T;N
"Extra data 5";"Papildus dati 5";S;;T;N
"Merchant note";"Tirgotāja (Merchant) piezīmes";B;;T;N
"Banner name";"Banera nosaukums";S;merchant;T;Y
"Banner preview";"Banera priekšskatījums";S;merchant;T;Y
"Campaign";"Kampaņa";B;;T;Y
"Target URL";"Mērķa URL";B;;T;Y
"Banner type";"Banera veids";S;;T;Y
"Html data is not defined";"Html dati nav definēti";S;;T;Y
"File name is not defined";"Faila nosaukums nav definēts";S;;T;Y
"unknown";"Nezināms";B;;T;Y
"approved";"Akceptēts";B;;T;Y
"pending";"Apstrādē";B;;T;Y
"User Id";"Lietotāja Id";S;;T;Y
"Payment date";"Maksājuma datums";S;;T;Y
"Username";"Lietotājvārds";B;;T;Y
"Amount";"Daudzums";B;;T;N
"Note to affiliate";"Ziņa afilātei";S;;T;N
"Original currency ID";"Orģinālās valūtas ID";S;;T;N
"Original currency rate";"Orģinālās valūtas kurss";S;;T;N
"Original currency value";"Orģinālās valūtas vērtība";S;;T;N
"System note";"Sistēmas ziņa";B;;T;Y
"Country code";"Valsts kods";S;;T;N
"Affiliate first name";"Afilātes vārds";S;;T;Y
"Affiliate last name";"Afilātes uzvārds";S;;T;Y
"3rd party cookie";"3šo personu ""cookie""";B;;T;Y
"1st party cookie";"Pirmo personu ""cookie""";B;;T;Y
"Flash cookie";"Flash ""cookie""";B;;T;Y
"Forced parameter";"Piespiedu parametrs";B;;T;Y
"IP address";"IP adrese";B;;T;Y
"Default affiliate";"Noklusējuma afilāte";B;;T;Y
"Url";"URL";B;;T;Y
"Note";"Piezīme";B;;T;Y
"Status does not have allowed value";"Statusam nepiemīt atļautā vērtība";S;;T;N
"Selected username already exists";"IIzvēlētais lietotājvārds jau eksistē";S;;T;N
"Failed to change status for %s user(s)";"Neizdevās nomainīt statusu %s lietotājam(iem)";S;;T;N
"Status successfully changed for %s user(s)";"Statuss veiksmīgi nomainīts %s lietotājam(iem)";S;;T;N
"Password";"Parole";B;;T;Y
"Title must be unique";"Virsrakstam jābūt unikālam";S;affiliate;T;N
"Selected parent affiliate does not exist";"Izvēlētā ""parent"" afilāte neeksistē";S;;T;N
"Failed loading file %s with error: %s";"Neizdevās ielādēt failu %s sekojošā kļūda: %s";S;;T;N
"Merchant - New User Signup";"Tirgotājs - Jauna lietotāja reģistrācija";B;merchant;T;Y
"New user signed up";"Piereģistrējies jauns lietotājs";B;merchant;T;Y
"Email subject";"E-pasta tēma";S;merchant;T;N
"Email text";"E-pasta teksts";S;merchant;T;N
"Merchant - Affiliate filled Contact us form";"Tirgotājam - Partneris aizpildīja Sazinieties ar mums veidlapu";B;merchant;T;Y
"Affiliate filled Contact us form";"Partneris aizpildīja Sazinieties ar mums veidlapu";B;merchant;T;Y
"Merchant - New Sale / Lead";"Tirgotājs - Jauna pārdošana / Piesaiste";B;merchant;T;Y
"New sale / lead";"Jauna pārdošana / Piesaiste";B;;T;Y
"Affiliate - New User Signup Approved";"Partnerim - Jauna lietotāja reģistrācija apstirpināta";B;;T;Y
"Affiliate - New User Signup Before Approval";"Partnerim - Jauna lietotāja reģistrācija pirms apstiprināšanas";B;;T;Y
"Paid amount";"Samaksātais apjoms";S;;T;N
"Paid currency";"Samaksātā valūta";S;;T;N
"Payout method";"Izmaksas metode";B;;T;Y
"Affiliate - On payout";"Afilātei - Uz izmaksu";B;;T;Y
"Your commissions";"Jūsu komisijas";B;;T;Y
