source;translation;type;module;status;customer
lang_code;no;M;;T;N
lang_name;Norsk;M;;T;N
lang_english_name;Norwegian;M;;T;N
lang_author;"Isak Anders Eira";M;;T;N
lang_version;4.5.86.0;M;;T;N
lang_date_format;d/MM/yyyy;M;;T;N
lang_time_format;HH:mm:ss;M;;T;N
lang_thousands_separator;" ";M;;T;N
lang_decimal_separator;.;M;;T;N
lang_transaltion_percentage;97;M;;T;N
"Error during copy of sample banner image %s.";"Feil under kopiering av testbanner bilde %s.";S;;T;N
"License";"Lisens";S;;T;N
"You have to agree license.";"Du må godta lisensen.";B;;T;N
"Installation Completed";"Installasjonen er fullført";B;;T;N
"Safe Mode";"Sikker Modus";S;;T;N
"Display Errors";"Vis Feil";S;;T;N
"File Uploads";"Fil Opplastninger";S;;T;N
"Register Globals";"Register Globals";S;;T;N
"Session Auto Start";"Sesjon Auto Start";S;;T;N
"On";"På";B;;T;N
"Off";"Av";B;;T;N
"Configuration directory is writable";"Konfigurasjonskatalogen er skrivbar";S;;T;N
"Configuration directory has to be writable";"Konfigurasjonskatalogen må være skrivbar og kunne skrives til";S;;T;N
"Please make directory %s and all subdirectories writable by webserver.";"Sett katalog %s og alle dets underkataloger som skrivbare på webserveren.";S;;T;N
"On unix-like systems you can type ""chmod -R 777 %s"".";"På unix systemer kan du skrive ""chmod -R 777 %s"".";S;;T;N
"On any system you can set write permissions using your favourite FTP client.";"På alle systemer kan du sette skriverettigheter ved hjelp av din FTP klient.";S;;T;N
"PHP include path";"PHP include path";S;;T;N
"Could not set PHP include path";"Kunne ikke sette PHP include path";S;;T;N
"Please configure your PHP so that script is able to change include_path.";"Konfigurer din PHP slik at script kan endre include_path.";S;;T;N
"Alternatively you can set include_path directly in your php.ini. include_path=%s";"Alternativt kan du sette include_path katalogen i din php.ini. include_path=%s";S;;T;N
"MySQL extension is installed";"MySQL utvidelse er installert";S;;T;N
"MySQL extension is not installed";"MySQL utvidelse er ikke installert";S;;T;N
"Please enable MySQL extension. More info http://php.net/mysql";"Aktiver MySQL Utvidelse. Mer info på http://php.net/mysql";S;;T;N
"MySQL version is %s or higher";"MySQL versjon er %s eller høyere";S;;T;N
"MySQL version is less then %s";"MySQL versjon er lavere enn %s";S;;T;N
"Please install MySQL version %s or higher. Your current version is %s. More info http://myqsl.net/";"Installer MySQL versjon %s eller høyere. Din nåværende versjon er %s. Mer info på http://myqsl.net/";S;;T;N
"Please check system requirements and try again";"Sjekk systemkravene og prøv igjen";S;;T;N
"Welcome";"Velkommen";S;;T;N
"Error, you cannot deactivate Default campaign";"Feil, du kan ikke deaktivere standard kampanje";S;merchant;T;N
"You have to specify status of campaign (rstatus field)";"Du må spesifisere status på kampanjen (rstatus felt)";S;merchant;T;N
"Campaigns";"Kampanjer";B;;T;N
"Overview";"Oversikt";B;;T;N
"Campaigns Manager";"Administrere kampanjer";S;merchant;T;N
"Banners";"Bannere";B;merchant;T;N
"Banners Manager";"Administrere bannere";B;merchant;T;N
"Affiliates";"Affiliater";B;merchant;T;N
"Affiliates Manager";"Affiliate Administrator";S;merchant;T;N
"DirectLinks Urls";"DirekteLinker Urls";S;merchant;T;N
"Transactions";"Transaksjoner";S;merchant;T;N
"Raw clicks list";"Oversikt for alle klikk";B;merchant;T;N
"Commissions";"Provisjoner";B;;T;N
"Reports";"Rapporter";B;;T;N
"Trends report";"Trendrapport";B;;T;N
"Payouts history";"Utbetalingshistorikk";B;;T;N
"Payouts by affiliate";"Utbetalinger av affiliate";B;merchant;T;N
"Payouts";"Utbetalinger";B;merchant;T;N
"Pay affiliates";"Betal affiliater";B;merchant;T;N
"Communication";"Kommunikasjon";B;;T;N
"Send message";"Send melding";S;merchant;T;N
"Configuration";"Konfigurasjon";B;merchant;T;N
"Tracking settings";"Innstillinger for Sporing og Oversikt";B;merchant;T;N
"Affiliate panel";"Affiliate Panel";C;merchant;T;N
"Tools";"Verktøy";B;;T;N
"Integration";"Integrasjon";B;merchant;T;N
"Import / Export";"Importer / Eksporter";B;merchant;T;N
"Event logs";"Logger over hendelser";B;merchant;T;N
"Online users";"Online brukere";B;;T;N
"Database status";"Status for database";B;;T;N
"User cannot be found";"Kan ikke finne bruker";S;affiliate;T;N
"Email was successfully sent to merchant";"Epost ble sendt til grossist";S;affiliate;T;N
"Email notifications saved";"Epostvarslinger lagret";S;;T;N
"Banner";"Banner";B;;T;N
"none active";"ingen aktive";S;;T;N
"per click";"per klikk";B;;T;N
"per sale";"per salg";B;;T;N
"ID";"ID";B;;T;N
"Name";"Navn";B;;T;N
"Description";"Beskrivelse";B;;T;N
"Status";"Status";B;;T;N
"Date created";"Opprettelsesdato";S;;T;N
"Actions";"Handlinger";B;;T;N
"Channel";"Kanal";B;;T;N
"Failed to save %s field(s). Data with value '";"Feilet i å lagre %s felt(er). Data med verdi '";S;affiliate;T;N
"Failed to save %s field(s)";"Feilet i å lagre %s felt(er)";S;;T;N
"%s field(s) successfully saved";"Lagring av %s felt(er) ble vellykket";S;;T;N
"User";"Bruker";S;;T;N
"Channel name";"Kanal navn";S;affiliate;T;N
"Pattern didn't matched the URL, check your pattern";"Plassering passet ikke URL, sjekk din plassering";S;affiliate;T;N
"Pattern matched the URL";"Plassering passet URL";S;affiliate;T;N
"Login";"Logg inn";B;;T;N
"First name";"Fornavn";B;;T;N
"Last name";"Etternavn";B;;T;N
"Referral ID";"Refererings ID";B;;T;N
"I agree with terms & conditions";"Jeg samtykker Brukervilkår og Personvern";B;;T;N
"Cannot find invoice";"Kan ikke finne faktura";S;;T;N
"Affiliate";"Affiliate";B;;T;N
"Date of registration";"Registreringsdato";S;affiliate;T;N
"% in total sales";"% i totale salg";S;affiliate;T;N
"% of total sales";"% av totale salg";S;affiliate;T;N
"% of total commissions";"% av total provisjon";S;affiliate;T;N
"Commission";"Provisjon";B;;T;N
"Total cost";"Total kostnader";B;;T;N
"Order ID";"Ordre ID";B;;T;N
"Product ID";"Produkt ID";B;;T;N
"Created";"Opprettet";B;;T;N
"Campaign Name";"Kampanjenavn";B;;T;N
"Type";"Type";B;;T;N
"Affiliate username";"Affiliate brukernavn";S;;T;N
"Paid";"Betalt";B;;T;N
"Ip";"IP";S;;T;N
"Referer";"Refererer";B;;T;N
"Recurring commison id";"Gjentakende provisjon ID";S;;T;N
"Payout history id";"Utbetalingshistorikk ID";S;;T;N
"Click count";"Antall klikk";S;;T;N
"First click time";"Første klikk";S;;T;N
"First click referer";"Første klikkrefererer";S;;T;N
"First click ip";"Første klikk IP";S;;T;N
"First click data 1";"Første klikk data 1";S;;T;N
"First click data 2";"Første klikk data 2";S;;T;N
"Last click time";"Siste klikk";S;;T;N
"Last click referer";"Siste klikkrefererer";S;;T;N
"Last click ip";"Siste klikk IP";S;;T;N
"Last click data 1";"Siste klikk data 1";S;;T;N
"Last click data 2";"Siste klikk data 2";S;;T;N
"Extra data 1";"Ekstra data 1";B;;T;N
"Extra data 2";"Ekstra data 2";B;;T;N
"Extra data 3";"Ekstra data 3";S;;T;N
"Extra data 4";"Ekstra data 4";S;;T;N
"Extra data 5";"Ekstra data 5";S;;T;N
"Merchant note";"Grossist merknad";B;;T;N
"Banner name";"Bannernavn";S;merchant;T;N
"Banner preview";"Forhåndsvisning av Banner";S;merchant;T;N
"Campaign";"Kampanje";B;;T;N
"Target URL";"Målrettet URL";B;;T;N
"Banner type";"Bannertype";S;;T;N
"Html data is not defined";"Html data er ikke definert";S;;T;N
"File name is not defined";"Filnavn er ikke definert";S;;T;N
"unknown";"ukjent";B;;T;N
"approved";"godkjent";B;;T;N
"pending";"venter";B;;T;N
"User Id";"Bruker Id";S;;T;N
"Payment date";"Betalingsdato";S;;T;N
"Username";"Brukernavn";B;;T;N
"Amount";"Beløp";B;;T;N
