source;translation;type;module;status;customer
lang_code;sv-SE;M;;T;N
lang_name;Sverige;M;;T;N
lang_english_name;Swedish;M;;T;N
lang_author;"Herbal Technologies B.V.";M;;T;N
lang_version;4.5.86.0;M;;T;N
lang_date_format;Mån/dag/årtal;M;;T;N
lang_time_format;HH:mm:ss;M;;T;N
lang_thousands_separator;;M;;T;N
lang_decimal_separator;.;M;;T;N
lang_transaltion_percentage;86;M;;T;N
"Error during copy of sample banner image %s.";"Fel vid kopiering av test banner bild";S;;T;N
"License";"Licens";S;;T;N
"You have to agree license.";"Du måste godkänna licensen.";B;;T;N
"Installation Completed";"Installationen slutförd";B;;T;N
"Safe Mode";"Felsäkert läge";S;;T;N
"Display Errors";"Visa fel";S;;T;N
"File Uploads";"Filuppladdning";S;;T;N
"Register Globals";"Register Globals";S;;N;N
"Session Auto Start";"Session Auto Start";S;;N;N
"On";"On";B;;N;N
"Off";"Off";B;;N;N
"Configuration directory is writable";"Konfigurationskatalogen är skrivbar";S;;T;N
"Configuration directory has to be writable";"Konfigurationskatalogen måste vara skrivbar";S;;T;N
"Please make directory %s and all subdirectories writable by webserver.";"Gör katalogen%s och alla underkataloger skrivbara hos webservern.";S;;T;N
"On unix-like systems you can type ""chmod -R 777 %s"".";"På unix-liknande system can du skriva in ""chmod -R 777 %s"".";S;;T;N
"On any system you can set write permissions using your favourite FTP client.";"I alla system kan du ange skrivar-behörighet genom att uppge den FTP-klient du föredrar";S;;T;N
"PHP include path";"PHP include path";S;;N;N
"Could not set PHP include path";"Kunde inte ställa in PHP include path";S;;T;N
"Please configure your PHP so that script is able to change include_path.";"Var god och konfigurera din PHP så att skript kan förändra  include_path";S;;T;N
"Alternatively you can set include_path directly in your php.ini. include_path=%s";"Alternativt kan du ställa in include_path direkt i din php.ini. include_path=%s";S;;T;N
"MySQL extension is installed";"MySQL extension är installerad";S;;T;N
"MySQL extension is not installed";"MySQL extension är inte installerad";S;;T;N
"MySQL version is %s or higher";"MySQL version är %s eller högre";S;;T;N
"MySQL version is less then %s";"MySQL version är lägre än %s";S;;T;N
"Please install MySQL version %s or higher. Your current version is %s. More info http://myqsl.net/";"Vänligen installera MySQL version %s eller högre. Din nuvarande version är %s. Mer info på http://myqsl.net/";S;;T;N
"Please check system requirements and try again";"Kontrollera systemkrav och försök igen";S;;T;N
"Welcome";"Välkommen";S;;T;N
"Error, you cannot deactivate Default campaign";"Fel, du kan inte desaktivera Standard kampanj";S;merchant;T;N
"You have to specify status of campaign (rstatus field)";"Du måste ange statusen för kampanjen (rstatus fält)";S;merchant;T;N
"Campaigns";"Kampanjer";B;;T;N
"Overview";"Översikt";B;;T;N
"Campaigns Manager";"Kampanj- Manager";S;merchant;T;N
"Banners";"Banners";B;merchant;N;N
"Banners Manager";"Banners manager";B;merchant;N;N
"Affiliates";"Affiliates";B;merchant;N;N
"Affiliates Manager";"Affiliates Manager";S;merchant;N;N
"DirectLinks Urls";"Urls för direktlänkar";S;merchant;T;N
"Transactions";"Transaktioner";S;merchant;T;N
"Raw clicks list";"Raw clicks lista";B;merchant;T;N
"Commissions";"Provisioner";B;;T;N
"Reports";"Rapporter";B;;T;N
"Trends report";"Trendrapport";B;;T;N
"Payouts history";"Utbetalningshistorik";B;;T;N
"Payouts by affiliate";"Utbetalningar av affiliate";B;merchant;T;N
"Payouts";"Utbetalningar";B;merchant;T;N
"Pay affiliates";"Betala affiliates";B;merchant;T;N
"Communication";"Meddelande";B;;T;N
"Send message";"Skicka meddelande";S;merchant;T;N
"Configuration";"Konfiguration";B;merchant;T;N
"Tracking settings";"Spåra inställningar";B;merchant;T;N
"Affiliate panel";"Affiliate Panel";C;merchant;N;N
"Tools";"Verktyg";B;;T;N
"Integration";"Integration";B;merchant;N;N
"Import / Export";"Import / Export";B;merchant;N;N
"Event logs";"Historik";B;merchant;T;N
"Online users";"Online användare";B;;T;N
"Database status";"Databasstatus";B;;T;N
"User cannot be found";"Användaren kan inte hittas";S;affiliate;T;N
"Email was successfully sent to merchant";"E-mail har skickats till manager";S;affiliate;T;N
"Email notifications saved";"E-postmeddelanden sparade";S;;T;N
"Banner";"Banner";B;;N;N
"none active";"Inte aktiv";S;;T;N
"per click";"per Klick";B;;T;N
"per sale";"per Köp";B;;T;N
"ID";"Id";B;;T;N
"Name";"Namn";B;;T;N
"Description";"Beskrivning";B;;T;N
"Status";"Status";B;;N;N
"Date created";"Datum skapat";S;;T;N
"Actions";"Aktiviteter";B;;T;N
"Channel";"Kanal";B;;T;N
"Failed to save %s field(s). Data with value '";" %s fält har inte sparats. Data med värde '";S;affiliate;T;N
"Failed to save %s field(s)";" %s fält har inte sparats. ";S;;T;N
"%s field(s) successfully saved";" %s fält har sparats. ";S;;T;N
"User";"Användare";S;;T;N
"Channel name";"Namn på kanal";S;affiliate;T;N
"Pattern didn't matched the URL, check your pattern";"Sökvägen matchade inte URL, kontrollera sökvägen";S;affiliate;T;N
"Pattern matched the URL";"Sökvägen matchade URL";S;affiliate;T;N
"Login";"Login";B;;N;N
"First name";"Förnamn";B;;T;N
"Last name";"Efternamn";B;;T;N
"Referral ID";"Referens ID";B;;T;N
"I agree with terms & conditions";"Jag godkänner regler och villkor";B;;T;N
"Cannot find invoice";"Hittar inte faktura";S;;T;N
"Affiliate";"Affiliate";B;;N;N
"Date of registration";"Datum för registrering";S;affiliate;T;N
"% in total sales";"% i total försäljning";S;affiliate;T;N
"% of total sales";"% av den totala försäljningen";S;affiliate;T;N
"% of total commissions";"% av den totala provisionen";S;affiliate;T;N
"Commission";"Provision";B;;T;N
"Total cost";"Total kostnad";B;;T;N
"Order ID";"Order ID";B;;N;N
"Product ID";"Produkt ID";B;;T;N
"Created";"Skapad";B;;T;N
"Campaign Name";"Kampanjnamn";B;;T;N
"Type";"Typ";B;;T;N
"Affiliate username";"Affiliate användarnamn";S;;T;N
"Paid";"Betalad";B;;T;N
"Ip";"IP";S;;N;N
"Referer";"Referens";B;;T;N
"Recurring commison id";"Återkommande provisions ID";S;;T;N
"Payout history id";"Betalningshistorik id";S;;T;N
"Click count";"Klicka räknare";S;;T;N
"First click time";"Första klicket";S;;T;N
"First click referer";"Referens för första klicket";S;;T;N
"First click ip";"IP för första klicket";S;;T;N
"First click data 1";"Första klicket data 1";S;;T;N
"First click data 2";"Första klicket data 2";S;;T;N
"Last click time";"Sista klicket ";S;;T;N
"Last click referer";"Referens för sista klicket";S;;T;N
"Last click ip";"IP sista klicket ";S;;T;N
"Last click data 1";"Sista klicket data 1";S;;T;N
"Last click data 2";"Sista klicket  data 2";S;;T;N
"Extra data 1";"Extra data 1";B;;N;N
"Extra data 2";"Extra data 2";B;;N;N
"Extra data 3";"Extra data 3";S;;N;N
"Extra data 4";"Extra data 4";S;;N;N
"Extra data 5";"Extra data 5";S;;N;N
"Merchant note";"Manager anteckning";B;;T;N
"Banner name";"Banner namn";S;merchant;T;N
"Banner preview";"F örhandsgranska banner ";S;merchant;T;N
"Campaign";"Kampanj";B;;T;N
